1670262769.454233,left
1670262769.454233,right
1670262785.062546,left
1670262785.062546,right
1670262790.752723,left
1670262790.752723,right
1670262796.406232,left
1670262796.406232,right
1670262802.102985,left
1670262802.102985,right
1670262807.799914,left
1670262807.799914,right
1670262813.476372,left
1670262813.476372,right
1670262819.170623,left
1670262819.170623,right
1670262824.866905,left
1670262824.866905,right
1670262830.546491,left
1670262830.546491,right
1670262836.221237,left
1670262836.221237,right
1670262841.917611,left
1670262841.917611,right
1670262847.592388,left
1670262847.592388,right
1670262853.271814,left
1670262853.271814,right
1670262858.968195,left
1670262858.968195,right
1670262864.644729,left
1670262864.644729,right
1670262870.316863,left
1670262870.316863,right
1670262876.01195,left
1670262876.01195,right
1670262881.68299,left
1670262881.68299,right
1670262887.370034,left
1670262887.370034,right
1670262893.065938,left
1670262893.065938,right
1670262898.760271,left
1670262898.760271,right
